suite_name,experiment,policy,policy_variant,policy_label,base_policy,x_name,x_value,seed,scale_mode,num_parallel_workers,trial_timeout_sec,max_control_steps,obstacle_count,world_width,world_height,world_area,obstacle_area_sum,occupancy_ratio,min_mass,max_mass,mass_scale,status,reason,success,control_steps,wall_clock_sec,planning_time,exec_time,total_expanded,total_visited,total_sims,planning_iterations,push_tasks_executed,timeout_kind,timeout_source_x_value,timeout_cap_applied
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,45.0,0,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,17.262719388559784,0.2697299904462466,15.0,30.0,,TERMINATED,task_done,1,9016,199.86518144607544,45.367560148239136,222.97500000003356,29,80,112,3,25,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,45.0,1,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,19.171732673698557,0.29955832302653995,15.0,30.0,,TERMINATED,task_done,1,8222,243.07729125022888,55.009769678115845,203.50000000002913,31,70,104,2,30,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,45.0,2,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,18.918336561364114,0.2955990087713143,15.0,30.0,,TERMINATED,task_done,1,10919,369.17023754119873,80.38306498527527,271.5750000000269,37,95,113,2,37,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,45.0,3,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,18.632344196664906,0.29113037807288916,15.0,30.0,,TERMINATED,task_done,1,6842,158.4122772216797,33.86530065536499,168.90000000002127,24,48,59,2,23,,,0
paper_density_scaling_v1,density,ours,ours,Ours,ours,obstacle_count,45.0,4,density_scaling,16,800.0,20000,45,8.0,8.0,64.0,17.357214518854263,0.27120647685709787,15.0,30.0,,TERMINATED,task_done,1,7332,137.44359278678894,31.126930952072144,179.6250000000237,24,66,82,2,23,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,15.0,0,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,6.896411147092687,0.10775642417332323,15.0,30.0,,TERMINATED,task_done,1,1302,12.24839448928833,2.4049079418182373,25.949999999999594,4,4,8,2,4,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,15.0,1,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,7.936905385609512,0.12401414665014862,15.0,30.0,,TERMINATED,task_done,1,1329,14.451176881790161,3.0398499965667725,28.099999999999472,4,6,8,1,4,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,15.0,2,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,5.366758159120872,0.08385559623626362,15.0,30.0,,TERMINATED,task_done,1,912,7.13504695892334,1.3033647537231445,15.97500000000016,2,2,4,1,2,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,15.0,3,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,7.450735402078755,0.11641774065748055,15.0,30.0,,TERMINATED,task_done,1,893,11.317903280258179,2.9906818866729736,16.90000000000011,4,5,8,1,4,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,15.0,4,density_scaling,16,800.0,20000,15,8.0,8.0,64.0,7.17513966561798,0.11211155727528094,15.0,30.0,,TERMINATED,task_done,1,1991,9.810193538665771,1.7380831241607666,34.624999999999105,4,6,8,1,4,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,20.0,0,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,9.000933565476204,0.1406395869605657,15.0,30.0,,TERMINATED,task_done,1,2371,34.72013854980469,6.8887975215911865,55.49999999999792,9,14,18,2,9,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,20.0,1,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,10.357541126346867,0.1618365800991698,15.0,30.0,,TERMINATED,task_done,1,2247,32.302321434020996,5.670644044876099,52.77499999999807,6,8,12,2,6,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,20.0,2,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,8.05342780399303,0.1258348094373911,15.0,30.0,,TERMINATED,task_done,1,1593,27.27356743812561,6.253874063491821,36.17499999999902,6,8,18,2,6,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,20.0,3,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,9.581620243122366,0.14971281629878697,15.0,30.0,,TERMINATED,task_done,1,2600,35.72052502632141,7.858850479125977,61.1499999999976,9,16,18,1,9,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,20.0,4,density_scaling,16,800.0,20000,20,8.0,8.0,64.0,9.381083004441063,0.1465794219443916,15.0,30.0,,TERMINATED,task_done,1,1674,11.863404989242554,2.7897071838378906,30.899999999999313,5,7,8,1,5,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,25.0,0,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,11.106420243122368,0.173537816298787,15.0,30.0,,TERMINATED,task_done,1,4961,74.91209387779236,13.972492218017578,119.95000000001015,16,30,38,1,15,,,0
paper_density_scaling_v1,density,ours_no_recursive,ours_no_recursive,Ours w/o recursive,ours,obstacle_count,25.0,1,density_scaling,16,800.0,20000,25,8.0,8.0,64.0,12.658176867084222,0.19778401354819097,15.0,30.0,,TERMINATED,task_done,1,3574,60.96102595329285,10.397560119628906,86.62500000000257,10,18,20,1,10,,,0
