experiment,experiment_canon,policy,policy_variant,policy_label,x_name,x_value,num_trials,num_success,num_timeout,num_timeout_pruned,num_error,success_rate,success_ci95_low,success_ci95_high,status_counts,planning_time_mean_all,planning_time_std_all,planning_time_median_all,planning_time_mean_capped,planning_time_std_capped,planning_time_median_capped,planning_time_mean_success,planning_time_std_success,planning_time_median_success,wall_clock_sec_mean_all,wall_clock_sec_std_all,wall_clock_sec_mean_success,wall_clock_sec_std_success,exec_time_mean_success,exec_time_std_success,control_steps_mean_success,control_steps_std_success,total_sims_mean_success,total_sims_std_success,total_expanded_mean_success,total_expanded_std_success,total_visited_mean_success,total_visited_std_success,planning_iterations_mean_success,planning_iterations_std_success,push_tasks_executed_mean_success,push_tasks_executed_std_success,occupancy_ratio_mean,occupancy_ratio_std
density,density,ours,ours,PushAround,obstacle_count,30.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,11.68392288684845,3.747939410907958,10.580580234527588,11.68392288684845,3.747939410907958,10.580580234527588,11.68392288684845,3.747939410907958,10.580580234527588,59.805401468276976,21.387838201615494,59.805401468276976,21.387838201615494,100.86000000000627,34.71192998572441,4185.2,1395.6076971858693,64.3,22.603097132915213,10.5,2.6770630673681683,49.6,16.049922118191105,1.7,0.4830458915396479,10.5,2.6770630673681683,0.20758868510133027,0.012262064610771041
density,density,ours,ours,PushAround,obstacle_count,35.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,26.462041473388673,9.349449893713683,24.297686100006104,26.462041473388673,9.349449893713683,24.297686100006104,26.462041473388673,9.349449893713683,24.297686100006104,124.60002071857453,50.456373316532535,124.60002071857453,50.456373316532535,165.43500000001615,65.9675174696747,6739.9,2633.0683178882136,113.4,36.10847853651857,16.6,4.221637386396684,89.8,29.682767166601344,1.9,0.31622776601683794,16.6,4.221637386396684,0.2376261708357592,0.01711683209893732
density,density,ours,ours,PushAround,obstacle_count,40.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,38.918237632560725,14.683509764064613,36.75701200962067,38.918237632560725,14.683509764064613,36.75701200962067,38.918237632560725,14.683509764064613,36.75701200962067,181.82046610507965,58.90613766318842,181.82046610507965,58.90613766318842,213.21000000001732,58.30109251882201,8640.2,2335.35554276241,149.8,50.86321526080185,21.9,5.23768396653839,114.0,39.53057888099625,1.9,0.7378647873726218,20.7,4.083843505544474,0.2617514717210822,0.018052341141568812
density,density,ours,ours,PushAround,obstacle_count,45.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,53.440808629989625,24.50087619276246,41.85034978389741,53.440808629989625,24.50087619276246,41.85034978389741,53.440808629989625,24.50087619276246,41.85034978389741,246.36546783447267,95.72480316587934,246.36546783447267,95.72480316587934,272.7374999999959,97.42537047652782,11006.3,3896.8465898010977,199.2,85.58660331305751,28.7,10.853058964590991,144.1,43.587587427819145,2.1,0.5676462121975466,26.1,6.806043066438988,0.28298232696165415,0.014472271223677651
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,15.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,2.133996367454529,0.7986904325210624,2.2024892568588257,2.133996367454529,0.7986904325210624,2.2024892568588257,2.133996367454529,0.7986904325210624,2.2024892568588257,14.711752247810363,5.295000480829072,14.711752247810363,5.295000480829072,37.08499999999949,20.99570458715566,1814.3,901.8429340953877,20.7,7.803845206050668,3.5,1.35400640077266,12.4,7.229568912920512,1.3,0.4830458915396479,3.5,1.35400640077266,0.1110611168784283,0.010233747370247162
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,20.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,4.271173214912414,1.3488451341247916,4.288710951805115,4.271173214912414,1.3488451341247916,4.288710951805115,4.271173214912414,1.3488451341247916,4.288710951805115,27.580453944206237,8.178335755737175,27.580453944206237,8.178335755737175,57.93499999999899,17.35352669888469,2581.8,694.229196863527,33.9,4.909175083453431,5.7,0.8232726023485646,25.6,4.765617600176404,1.2,0.4216370213557839,5.7,0.8232726023485646,0.14635423221104576,0.010985397176318908
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,25.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,7.694455170631409,2.066291321575584,7.401106595993042,7.694455170631409,2.066291321575584,7.401106595993042,7.694455170631409,2.066291321575584,7.401106595993042,44.01238639354706,10.755106729127583,44.01238639354706,10.755106729127583,77.707500000001,14.915200346926792,3290.9,627.9494760284815,48.9,9.596874491208062,8.2,1.5491933384829668,38.3,8.57710129744698,1.4,0.5163977794943223,8.2,1.5491933384829668,0.17845177986485422,0.013685845544565336
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,30.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,11.441794657707215,2.9750098298665315,10.241867303848267,11.441794657707215,2.9750098298665315,10.241867303848267,11.441794657707215,2.9750098298665315,10.241867303848267,61.47347450256348,19.689439038507306,61.47347450256348,19.689439038507306,97.29000000000559,31.50234382815123,4041.2,1261.2162383984753,62.5,14.323640133243597,10.6,2.118699810942761,49.3,11.576316819745006,1.7,0.6749485577105528,10.6,2.118699810942761,0.20758868510133027,0.012262064610771041
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,35.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,24.734498715400697,8.18889232063344,23.446919560432434,24.734498715400697,8.18889232063344,23.446919560432434,24.734498715400697,8.18889232063344,23.446919560432434,131.88077988624573,53.392797018593484,131.88077988624573,53.392797018593484,166.0525000000163,68.4984726614068,6758.0,2729.3343917926622,111.3,35.28314044979557,18.5,5.835713800003866,82.0,19.567546828585563,2.0,0.9428090415820634,18.0,5.228129047119374,0.2376261708357592,0.01711683209893732
density,density,ours_no_recursive,ours_no_recursive,PushAround w/o rec.,obstacle_count,40.0,10,9,1,0,0,0.9,0.5958499732047615,0.9821237869049271,TERMINATED:9;TIMEOUT:1,111.95716762542725,241.96994207431155,35.63427913188934,111.95716762542725,241.96994207431155,35.63427913188934,35.507964028252495,10.850173093124555,34.304404735565186,243.05838248729705,200.95897922815,181.17598054144116,48.4919473196558,213.4277777777932,67.82393042423638,8645.777777777777,2731.2738684438887,153.77777777777777,90.98183579398936,23.0,6.6332495807108,123.88888888888889,82.662634310256,2.0,0.5,22.666666666666668,5.744562646538029,0.2621409056643174,0.019102793953278362
